Unix,Date,Symbol,Open,High,Low,Close,Volume BNT,Volume BTC,tradecount
1709078400000,2024-02-28,BNTBTC,1.524e-05,1.552e-05,1.317e-05,1.392e-05,255157.6,3.63874963,7508
1708992000000,2024-02-27,BNTBTC,1.515e-05,1.612e-05,1.462e-05,1.523e-05,322965.7,5.01187605,4737
1708905600000,2024-02-26,BNTBTC,1.55e-05,1.629e-05,1.514e-05,1.52e-05,124406.8,1.94359943,3450
1708819200000,2024-02-25,BNTBTC,1.523e-05,1.56e-05,1.514e-05,1.55e-05,25788.3,0.39708765,1492
1708732800000,2024-02-24,BNTBTC,1.491e-05,1.551e-05,1.469e-05,1.526e-05,62506.5,0.94797732,2851
1708646400000,2024-02-23,BNTBTC,1.49e-05,1.509e-05,1.463e-05,1.491e-05,52614.4,0.78477694,516
1708560000000,2024-02-22,BNTBTC,1.467e-05,1.507e-05,1.452e-05,1.489e-05,33002.2,0.49159687,261
1708473600000,2024-02-21,BNTBTC,1.508e-05,1.508e-05,1.443e-05,1.467e-05,33817.1,0.49585347,363
1708387200000,2024-02-20,BNTBTC,1.575e-05,1.585e-05,1.467e-05,1.504e-05,168006.4,2.52812201,864
1708300800000,2024-02-19,BNTBTC,1.536e-05,1.578e-05,1.535e-05,1.572e-05,30962.1,0.48281408,353
1708214400000,2024-02-18,BNTBTC,1.551e-05,1.558e-05,1.492e-05,1.539e-05,124616.1,1.91130073,674
1708128000000,2024-02-17,BNTBTC,1.577e-05,1.577e-05,1.521e-05,1.55e-05,60530.9,0.93320063,588
1708041600000,2024-02-16,BNTBTC,1.623e-05,1.673e-05,1.566e-05,1.576e-05,69349.5,1.1215811,955
1707955200000,2024-02-15,BNTBTC,1.582e-05,1.638e-05,1.575e-05,1.615e-05,212158.7,3.41968503,1181
1707868800000,2024-02-14,BNTBTC,1.587e-05,1.619e-05,1.564e-05,1.576e-05,57335.0,0.91061005,440
1707782400000,2024-02-13,BNTBTC,1.598e-05,1.63e-05,1.564e-05,1.589e-05,32385.4,0.51552084,287
1707696000000,2024-02-12,BNTBTC,1.589e-05,1.624e-05,1.564e-05,1.593e-05,63829.5,1.00892978,506
1707609600000,2024-02-11,BNTBTC,1.603e-05,1.683e-05,1.592e-05,1.594e-05,71227.0,1.16755828,460
